"Story","Title","Result","Date","Stability","Duration (s)"
"User","GET - Mendapatkan semua data post","SUCCESS","2023-04-24T15:25:11.0531535+07:00[Asia/Jakarta]","0.0","3.12"
"User","POST - Membuat data post baru","SUCCESS","2023-04-24T15:25:14.2021676+07:00[Asia/Jakarta]","0.0","1.17"
