"Story","Title","Result","Date","Stability","Duration (s)"
"User","GET - Mendapatkan semua data post","SUCCESS","2023-04-24T15:53:24.7173371+07:00[Asia/Jakarta]","0.0","2.74"
"User","POST - Membuat data post baru","SUCCESS","2023-04-24T15:53:27.4932686+07:00[Asia/Jakarta]","0.0","2.05"
"User","GET - Mendapatkan data post berdasarkan ID","SUCCESS","2023-04-24T15:53:29.5535527+07:00[Asia/Jakarta]","0.0","0.24"
"User","PUT - Mengubah data post berdasarkan ID","SUCCESS","2023-04-24T15:53:29.8275504+07:00[Asia/Jakarta]","0.0","0.78"
"User","DELETE - Menghapus data post berdasarkan ID","SUCCESS","2023-04-24T15:53:30.6145637+07:00[Asia/Jakarta]","0.0","0.64"
